id,type,location,strike,reconnaissance,assessment,ammunition,time,voyage,speed,value
UAV27,2,"(8.45,3.21)",0.12,0.79,0.18,0,0.7,153,2.0,0.53
UAV28,2,"(5.67,10.23)",0.20,0.81,0.24,0,0.5,172,1.5,0.71
UAV29,2,"(3.90,6.78)",0.14,0.75,0.19,0,0.8,149,2.0,0.49
UAV30,2,"(11.23,4.56)",0.09,0.84,0.21,0,0.6,163,1.5,0.64
UAV31,3,"(6.54,2.34)",0.06,0.18,0.89,0,0.7,141,1.5,0.23
UAV32,3,"(9.12,8.76)",0.10,0.22,0.85,0,0.5,136,2.0,0.27
UAV33,3,"(4.32,10.56)",0.08,0.15,0.92,0,0.8,147,1.5,0.31
UAV34,3,"(7.65,3.45)",0.12,0.20,0.87,0,0.6,139,2.0,0.26
UAV35,3,"(2.89,5.43)",0.05,0.17,0.91,0,0.7,144,1.5,0.29
UAV36,1,"(12.45,7.65)",0.84,0.13,0.11,8,0,174,2.0,0.58
UAV37,1,"(5.34,9.87)",0.79,0.09,0.16,7,0,169,1.5,0.43
UAV38,1,"(10.76,4.32)",0.92,0.05,0.08,9,0,184,2.0,0.66
UAV39,1,"(8.54,6.54)",0.87,0.15,0.10,8,0,173,1.5,0.52
UAV40,1,"(3.21,11.45)",0.77,0.17,0.13,7,0,162,2.0,0.41
UAV41,2,"(10.34,2.15)",0.18,0.82,0.20,0,0.7,158,1.5,0.67
UAV42,2,"(6.78,9.34)",0.11,0.77,0.23,0,0.5,166,2.0,0.50
UAV43,2,"(4.56,12.34)",0.21,0.80,0.17,0,0.8,170,1.5,0.74
UAV44,2,"(9.87,5.67)",0.15,0.76,0.25,0,0.6,151,2.0,0.46
UAV45,2,"(2.34,7.89)",0.10,0.85,0.19,0,0.7,164,1.5,0.62
UAV46,3,"(7.65,10.98)",0.09,0.21,0.86,0,0.6,143,1.5,0.24
UAV47,3,"(5.43,3.21)",0.13,0.16,0.90,0,0.8,138,2.0,0.30
UAV48,3,"(11.56,6.54)",0.07,0.19,0.88,0,0.5,146,1.5,0.28
UAV49,3,"(8.76,4.32)",0.11,0.23,0.83,0,0.7,135,2.0,0.25
UAV50,3,"(3.45,9.12)",0.06,0.14,0.93,0,0.6,148,1.5,0.32
UAV51,1,"(13.56,8.76)",0.85,0.12,0.10,9,0,177,2.0,0.59
UAV52,1,"(6.54,11.23)",0.81,0.10,0.14,8,0,168,1.5,0.48
UAV53,1,"(9.87,3.45)",0.90,0.06,0.09,7,0,181,2.0,0.63
UAV54,1,"(4.32,7.65)",0.78,0.16,0.12,9,0,160,1.5,0.44
UAV55,1,"(2.15,10.56)",0.89,0.07,0.08,8,0,179,2.0,0.56
UAV56,2,"(10.98,5.43)",0.17,0.81,0.21,0,0.6,157,1.5,0.66
UAV57,2,"(7.65,2.34)",0.13,0.78,0.24,0,0.8,165,2.0,0.54
UAV58,2,"(5.43,13.56)",0.22,0.79,0.18,0,0.5,173,1.5,0.75
UAV59,2,"(8.76,6.54)",0.14,0.74,0.22,0,0.7,150,2.0,0.48
UAV60,2,"(3.45,9.87)",0.11,0.83,0.20,0,0.6,162,1.5,0.61
UAV61,3,"(11.23,4.32)",0.10,0.20,0.87,0,0.7,142,1.5,0.26
UAV62,3,"(6.54,10.76)",0.08,0.17,0.91,0,0.5,137,2.0,0.29
UAV63,3,"(9.12,2.15)",0.12,0.22,0.85,0,0.8,145,1.5,0.33
UAV64,3,"(4.32,7.89)",0.07,0.15,0.89,0,0.6,134,2.0,0.24
UAV65,3,"(2.34,8.76)",0.11,0.18,0.86,0,0.7,149,1.5,0.27
UAV66,1,"(14.67,9.87)",0.83,0.14,0.11,8,0,175,2.0,0.60
UAV67,1,"(7.65,12.34)",0.80,0.11,0.15,7,0,166,1.5,0.49
UAV68,1,"(10.98,4.56)",0.93,0.05,0.07,9,0,185,2.0,0.67
UAV69,1,"(5.43,8.76)",0.76,0.17,0.13,8,0,159,1.5,0.45
UAV70,1,"(3.45,11.67)",0.88,0.08,0.09,7,0,180,2.0,0.57
UAV71,2,"(11.56,6.54)",0.19,0.80,0.22,0,0.7,156,1.5,0.69
UAV72,2,"(8.76,3.45)",0.12,0.77,0.25,0,0.5,167,2.0,0.55
UAV73,2,"(6.54,14.67)",0.23,0.79,0.19,0,0.8,174,1.5,0.76
UAV74,2,"(9.87,7.65)",0.15,0.75,0.23,0,0.6,152,2.0,0.49
UAV75,2,"(2.34,10.98)",0.10,0.84,0.21,0,0.7,163,1.5,0.63
UAV76,3,"(8.76,5.43)",0.09,0.21,0.88,0,0.6,144,1.5,0.25
UAV77,3,"(4.56,11.56)",0.14,0.16,0.92,0,0.8,139,2.0,0.31
UAV78,3,"(12.34,3.45)",0.08,0.19,0.87,0,0.5,147,1.5,0.28
UAV79,3,"(7.65,6.54)",0.12,0.23,0.84,0,0.7,136,2.0,0.26
UAV80,3,"(3.45,9.87)",0.07,0.14,0.90,0,0.6,150,1.5,0.33
UAV81,1,"(15.78,10.98)",0.84,0.13,0.10,9,0,176,2.0,0.61
UAV82,1,"(8.76,13.45)",0.82,0.10,0.14,8,0,167,1.5,0.50
UAV83,1,"(11.67,5.67)",0.91,0.06,0.08,7,0,183,2.0,0.64
UAV84,1,"(6.54,9.87)",0.77,0.16,0.12,9,0,158,1.5,0.46
UAV85,1,"(4.56,12.78)",0.87,0.09,0.09,8,0,182,2.0,0.58
UAV86,2,"(12.45,7.65)",0.18,0.81,0.21,0,0.6,155,1.5,0.68
UAV87,2,"(9.87,4.56)",0.13,0.78,0.24,0,0.8,168,2.0,0.56
UAV88,2,"(7.65,15.78)",0.24,0.79,0.18,0,0.5,175,1.5,0.77
UAV89,2,"(10.98,8.76)",0.16,0.76,0.22,0,0.7,153,2.0,0.50
UAV90,2,"(3.45,11.67)",0.11,0.83,0.20,0,0.6,164,1.5,0.64
UAV91,3,"(11.67,5.43)",0.10,0.20,0.88,0,0.7,143,1.5,0.27
UAV92,3,"(7.65,12.45)",0.08,0.17,0.91,0,0.5,138,2.0,0.30
UAV93,3,"(13.56,3.45)",0.13,0.22,0.85,0,0.8,146,1.5,0.34
UAV94,3,"(5.43,9.87)",0.07,0.15,0.89,0,0.6,135,2.0,0.25
UAV95,3,"(2.34,10.98)",0.12,0.18,0.86,0,0.7,148,1.5,0.28
UAV96,1,"(16.89,11.67)",0.85,0.14,0.11,8,0,177,2.0,0.62
UAV97,1,"(9.87,14.56)",0.81,0.11,0.15,7,0,168,1.5,0.51
UAV98,1,"(12.78,6.54)",0.92,0.05,0.07,9,0,184,2.0,0.68
UAV99,1,"(7.65,10.98)",0.78,0.17,0.13,8,0,159,1.5,0.47
UAV100,1,"(5.43,13.67)",0.88,0.08,0.09,7,0,181,2.0,0.59
