id,type,location,strike,reconnaissance,assessment,ammunition,time,value
TASK222,2,"(23.45,78.90)",0.10,0.91,0.26,0,0.23,0.46
TASK223,2,"(76.54,90.12)",0.17,0.84,0.18,0,0.16,0.78
TASK224,2,"(12.34,45.67)",0.08,0.89,0.24,0,0.22,0.36
TASK225,2,"(56.78,23.45)",0.13,0.86,0.20,0,0.17,0.59
TASK226,2,"(89.01,76.54)",0.15,0.83,0.27,0,0.21,0.69
TASK227,2,"(34.56,12.78)",0.09,0.92,0.19,0,0.14,0.43
TASK228,2,"(67.89,56.78)",0.18,0.87,0.23,0,0.24,0.72
TASK229,2,"(21.34,89.01)",0.11,0.85,0.25,0,0.18,0.40
TASK230,2,"(78.90,45.32)",0.14,0.90,0.22,0,0.20,0.56
TASK231,3,"(54.32,21.78)",0.13,0.20,0.88,0,0.15,0.42
TASK232,3,"(89.01,67.45)",0.22,0.17,0.91,0,0.23,0.68
TASK233,3,"(34.56,90.12)",0.10,0.23,0.85,0,0.17,0.36
TASK234,3,"(65.43,12.34)",0.18,0.15,0.89,0,0.21,0.59
TASK235,3,"(21.78,56.78)",0.15,0.19,0.86,0,0.16,0.73
TASK236,3,"(76.54,34.56)",0.20,0.22,0.83,0,0.24,0.50
TASK237,3,"(12.34,89.65)",0.12,0.16,0.92,0,0.14,0.64
TASK238,3,"(56.78,23.45)",0.19,0.14,0.87,0,0.20,0.39
TASK239,3,"(87.65,76.54)",0.14,0.24,0.84,0,0.18,0.56
TASK240,3,"(45.67,12.78)",0.21,0.18,0.88,0,0.22,0.71
TASK241,1,"(68.23,91.45)",0.89,0.11,0.09,3,0,0.55
TASK242,1,"(24.56,38.71)",0.93,0.08,0.10,2,0,0.40
TASK243,1,"(79.01,15.32)",0.87,0.17,0.06,4,0,0.69
TASK244,1,"(35.67,68.90)",0.92,0.12,0.11,1,0,0.45
TASK245,1,"(88.76,57.89)",0.85,0.06,0.08,3,0,0.73
TASK246,1,"(46.78,24.56)",0.95,0.15,0.05,2,0,0.61
TASK247,1,"(13.89,91.23)",0.83,0.19,0.10,4,0,0.37
TASK248,1,"(57.89,35.67)",0.91,0.10,0.07,1,0,0.66
TASK249,1,"(90.12,79.01)",0.88,0.13,0.12,3,0,0.50
TASK250,1,"(35.67,66.54)",0.94,0.11,0.08,2,0,0.75
TASK251,2,"(69.34,22.45)",0.17,0.87,0.20,0,0.20,0.63
TASK252,2,"(25.67,79.01)",0.11,0.90,0.25,0,0.24,0.47
TASK253,2,"(77.65,91.23)",0.18,0.83,0.19,0,0.17,0.79
TASK254,2,"(13.45,46.78)",0.09,0.88,0.23,0,0.23,0.37
TASK255,2,"(58.90,24.56)",0.14,0.85,0.21,0,0.18,0.60
TASK256,2,"(90.23,77.65)",0.16,0.82,0.26,0,0.22,0.70
TASK257,2,"(36.78,13.45)",0.10,0.91,0.18,0,0.15,0.44
TASK258,2,"(68.90,57.89)",0.19,0.86,0.22,0,0.24,0.73
TASK259,2,"(22.45,90.12)",0.12,0.84,0.24,0,0.19,0.38
TASK260,2,"(79.01,46.78)",0.15,0.89,0.21,0,0.21,0.57
TASK261,3,"(55.43,22.89)",0.14,0.21,0.87,0,0.16,0.43
TASK262,3,"(90.23,68.54)",0.23,0.18,0.90,0,0.24,0.69
TASK263,3,"(36.78,91.34)",0.11,0.24,0.84,0,0.18,0.38
TASK264,3,"(66.54,13.56)",0.19,0.16,0.88,0,0.22,0.60
TASK265,3,"(22.89,58.90)",0.16,0.20,0.85,0,0.17,0.74
TASK266,3,"(77.76,35.67)",0.21,0.19,0.82,0,0.24,0.51
TASK267,3,"(13.56,90.23)",0.13,0.17,0.91,0,0.15,0.65
TASK268,3,"(59.01,23.56)",0.20,0.15,0.86,0,0.21,0.40
TASK269,3,"(88.87,77.76)",0.15,0.23,0.83,0,0.19,0.57
TASK270,3,"(46.78,13.67)",0.22,0.19,0.87,0,0.23,0.72
TASK271,1,"(69.45,89.34)",0.88,0.12,0.09,3,0,0.56
TASK272,1,"(25.78,47.89)",0.94,0.07,0.11,2,0,0.41
TASK273,1,"(78.12,16.45)",0.86,0.18,0.07,4,0,0.70
TASK274,1,"(36.78,69.01)",0.92,0.13,0.10,1,0,0.46
TASK275,1,"(89.87,58.90)",0.85,0.05,0.08,3,0,0.74
TASK276,1,"(47.89,25.67)",0.95,0.16,0.06,2,0,0.62
TASK277,1,"(14.90,92.34)",0.83,0.20,0.11,4,0,0.38
TASK278,1,"(58.90,36.78)",0.91,0.09,0.08,1,0,0.67
TASK279,1,"(91.23,80.12)",0.87,0.14,0.13,3,0,0.51
TASK280,1,"(36.78,67.65)",0.93,0.12,0.07,2,0,0.76
TASK281,2,"(70.56,23.56)",0.17,0.88,0.21,0,0.20,0.64
TASK282,2,"(26.89,80.12)",0.11,0.91,0.26,0,0.24,0.48
TASK283,2,"(78.76,92.34)",0.18,0.84,0.19,0,0.17,0.80
TASK284,2,"(14.56,47.89)",0.09,0.89,0.24,0,0.23,0.38
TASK285,2,"(59.01,24.67)",0.14,0.86,0.21,0,0.18,0.61
TASK286,2,"(91.34,78.76)",0.16,0.83,0.27,0,0.22,0.71
TASK287,2,"(37.89,14.56)",0.10,0.92,0.19,0,0.15,0.45
TASK288,2,"(69.01,58.90)",0.19,0.87,0.23,0,0.24,0.74
TASK289,2,"(23.56,91.23)",0.12,0.85,0.25,0,0.19,0.39
TASK290,2,"(80.12,47.89)",0.15,0.90,0.22,0,0.21,0.58
TASK291,3,"(56.54,23.90)",0.14,0.21,0.88,0,0.16,0.44
TASK292,3,"(91.34,69.65)",0.23,0.18,0.91,0,0.24,0.70
TASK293,3,"(37.89,92.45)",0.11,0.24,0.85,0,0.18,0.39
TASK294,3,"(67.65,14.67)",0.19,0.16,0.89,0,0.22,0.61
TASK295,3,"(23.90,59.01)",0.16,0.20,0.86,0,0.17,0.75
TASK296,3,"(78.87,36.78)",0.21,0.19,0.83,0,0.24,0.52
TASK297,3,"(14.67,91.34)",0.13,0.17,0.92,0,0.15,0.66
TASK298,3,"(60.12,24.67)",0.20,0.15,0.87,0,0.21,0.41
TASK299,3,"(89.98,78.87)",0.15,0.23,0.84,0,0.19,0.58
TASK300,3,"(47.89,14.78)",0.22,0.19,0.88,0,0.23,0.73
